City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
193,Coquimbo,CL,2021-07-21 17:58:42,-29.9533,-71.3436,55.13,71,20,10.36
194,Messina,IT,2021-07-21 17:57:42,38.1933,15.5497,81.97,69,0,1.99
195,Kismayo,SO,2021-07-21 17:58:43,-0.3582,42.5454,76.96,82,38,17.18
196,Lagoa,PT,2021-07-21 17:58:43,39.05,-27.9833,68.31,68,35,17.02
197,Westlock,CA,2021-07-21 17:58:43,54.1502,-113.8688,64.42,94,43,6.91
198,Selma,US,2021-07-21 17:58:43,36.5708,-119.6121,96.04,34,1,8.05
199,Talnakh,RU,2021-07-21 17:58:44,69.4865,88.3972,56.64,54,15,4.97
200,Daru,PG,2021-07-21 17:58:44,-9.0763,143.2092,76.69,84,82,12.77
201,Preston,GB,2021-07-21 17:58:44,53.7667,-2.7167,84.92,66,20,1.99
202,Sept-Iles,CA,2021-07-21 17:54:02,50.2001,-66.3821,66.72,62,90,4.0
203,Byron Bay,AU,2021-07-21 17:56:38,-28.65,153.6167,46.29,67,25,12.88
204,Tagab,AF,2021-07-21 17:58:45,34.855,69.6492,80.51,41,10,0.56
205,Bathsheba,BB,2021-07-21 17:58:45,13.2167,-59.5167,86.61,70,75,21.85
206,Carnarvon,AU,2021-07-21 17:58:46,-24.8667,113.6333,57.27,67,4,5.75
207,Beyneu,KZ,2021-07-21 17:57:51,45.3167,55.2,98.64,18,70,5.66
208,Lixourion,GR,2021-07-21 17:58:46,38.2019,20.4314,76.42,79,0,7.9
209,Yantai,CN,2021-07-21 17:58:47,37.5333,121.4,74.41,83,72,3.06
210,Kidal,ML,2021-07-21 17:58:47,18.4411,1.4078,94.01,31,100,12.91
211,Inirida,CO,2021-07-21 17:58:47,3.8653,-67.9239,77.49,89,97,2.13
212,Mezen,RU,2021-07-21 17:58:47,65.8522,44.24,47.84,78,45,4.74
