City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
223,Kupang,ID,70.47,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
225,Sabha,LY,84.87,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
226,Lapithos,CY,82.69,clear sky,35.3375,33.1792,Gillham Luxury Boutique & Vineyard
228,Muros,ES,68.5,scattered clouds,42.7762,-9.0603,Apartment Av. Castelao
229,Aksu,CN,82.99,clear sky,41.1231,80.2644,Pudong Holiday Hotel
230,Vulcan,RO,60.31,scattered clouds,45.3833,23.2667,Paradisul verde
233,Saint-Georges,GD,83.88,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
235,Grand Gaube,MU,70.2,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
236,Pisco,PE,66.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
237,Devanhalli,IN,71.83,broken clouds,13.2325,77.6992,Gold Finch Resort
238,Keuruu,FI,62.74,few clouds,62.2667,24.7,Hostelli Nonna
242,Mahibadhoo,MV,81.93,light rain,3.7833,72.9667,Omadhoo Inn
243,Tura,IN,74.93,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
244,Port Moresby,PG,76.42,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
245,Shiyan,CN,74.41,clear sky,32.6475,110.7781,Fenghuang Garden Holiday Hotel
246,Palmer,US,85.32,scattered clouds,42.1584,-72.3287,Wedgewood Motel
247,Plouzane,FR,62.69,scattered clouds,48.3833,-4.6167,Carrefour Voyages Plouzané
248,Naze,JP,77.32,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
250,Kabakovo,RU,61.09,broken clouds,54.5369,56.1517,Смарт Девелоперс
251,Torbay,CA,68.76,broken clouds,47.6666,-52.7314,Gallows Cove
252,Parabel,RU,62.31,clear sky,58.6978,81.4825,Housing Complex Gazprom Transgaz Tomsk
254,Mucuri,BR,72.77,broken clouds,-18.0864,-39.5508,La Bodeguita Pousada
255,Namatanai,PG,78.1,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
257,Deyang,CN,73.29,clear sky,31.1302,104.382,Milletholly Resort Hotel
261,Lock Haven,US,85.59,overcast clouds,41.137,-77.4469,Fairfield Inn & Suites by Marriott Lock Haven
266,Pa Daet,TH,78.17,overcast clouds,19.5049,99.9924,โรงแรมฝ้ายคำ
267,Hailey,US,88.9,smoke,43.5196,-114.3153,Wood River Inn & Suites
268,Mecca,SA,88.61,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
269,Vanimo,PG,74.61,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
270,Nacala,MZ,69.12,scattered clouds,-14.5428,40.6728,Nacala Plaza Business Design Hotel
271,Ailigandi,PA,83.62,overcast clouds,9.2333,-78.0167,Akwa Reef Lodge
272,Taltal,CL,60.85,few clouds,-25.4,-70.4833,Residencial Karime
273,Teya,RU,61.05,clear sky,60.3778,92.6267,
274,Wum,CM,65.17,light rain,6.3833,10.0667,Wum Council Hall
276,Puerto Lopez,CO,83.89,overcast clouds,4.0845,-72.956,Resguardo Indigena Maguare
280,Feicheng,CN,71.91,overcast clouds,35.2606,117.9675,Royal Garden Hotel
282,Yumen,CN,74.37,broken clouds,40.2833,97.2,
283,Conceicao Da Barra,BR,71.76,scattered clouds,-18.5933,-39.7322,Cricaré Praia Hotel
284,Shache,CN,82.22,clear sky,38.4167,77.2406,Delong Hotel
285,Vitim,RU,60.31,broken clouds,59.4511,112.5578,Gostinitsa V Apteke
286,Flin Flon,CA,71.44,smoke,54.7682,-101.865,Victoria Inn Flin Flon
287,Gandu,BR,72.41,overcast clouds,-13.7439,-39.4867,Pousada Duarte
290,Saint-Pierre,RE,68.29,few clouds,-21.3393,55.4781,Lindsey Hôtel
291,Maridi,SS,67.62,light rain,4.9158,29.4742,
292,Sinnamary,GF,80.8,moderate rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
293,Mandera,KE,80.94,overcast clouds,3.9366,41.867,Kornesh Hotel and Lodging
294,Acarau,BR,81.86,scattered clouds,-2.8856,-40.12,castelo pizzaria
295,Diu,IN,82.24,overcast clouds,20.7141,70.9822,Hotel Relax Inn
297,Ekibastuz,KZ,76.57,broken clouds,51.6667,75.3667,
298,Whitehorse,CA,64.09,broken clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
299,Krasnogorsk,RU,63.18,clear sky,55.8225,37.3181,"Hotel ""Academy"""
300,West Bay,KY,89.01,thunderstorm,19.3667,-81.4167,Calypso Cove
303,Aloleng,PH,82.18,moderate rain,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
304,Bethel,US,85.17,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
305,Solnechnyy,RU,71.71,few clouds,50.7214,136.6319,Hotel complex Pastoral
306,Hambantota,LK,79.2,overcast clouds,6.1241,81.1185,Bungalow 63
307,Tagab,AF,84.11,clear sky,34.855,69.6492,
308,Dali,CN,62.71,light rain,25.7,100.1833,Dali Travelling With Hostel
309,Bonavista,CA,68.0,broken clouds,48.6499,-53.1147,Abbott's Bed & Breakfast
310,Garachine,PA,80.94,overcast clouds,8.0647,-78.3628,
311,Yonibana,SL,72.12,light rain,8.4447,-12.245,
312,Denpasar,ID,76.66,broken clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
313,Mahebourg,MU,70.09,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
314,Migori,KE,66.31,broken clouds,-1.0634,34.4731,"Calabash Hotel, Migori"
315,Portland,US,89.64,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
316,Rio Grande,BR,75.31,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
318,Ust-Ilimsk,RU,61.18,broken clouds,58.0006,102.6619,Alenat Tsentr
320,Naron,ES,67.59,few clouds,43.5167,-8.1528,Marcial
322,Cockburn Town,TC,85.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
324,Alofi,NU,73.29,clear sky,-19.0595,-169.9187,Taloa Heights
325,Rasht,IR,78.71,overcast clouds,37.2808,49.5832,CCTV industry Yara
326,Lloydminster,CA,74.88,scattered clouds,53.2835,-110.0016,BCMInns - Lloydminster
327,Hobyo,SO,77.99,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
329,Velyka Bilozerka,UA,73.09,broken clouds,47.2776,34.7062,Салам Пополам
331,Eureka,US,64.26,scattered clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
332,Kirakira,SB,79.39,overcast clouds,-10.4544,161.9205,SanBiz Lodge
333,Peniche,PT,71.29,scattered clouds,39.3558,-9.3811,Hotel Star inn Peniche
334,Bambous Virieux,MU,70.05,scattered clouds,-20.3428,57.7575,Casa Tia Villa
335,Esterhazy,CA,79.65,clear sky,50.65,-102.0843,Canalta Hotel Esterhazy
336,Yanam,IN,81.21,overcast clouds,16.7333,82.2167,The Regency Hotel
337,Erenhot,CN,64.63,overcast clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
338,Kenai,US,61.03,overcast clouds,60.5544,-151.2583,Aspen Extended Stay Suites
339,Beyneu,KZ,85.95,overcast clouds,45.3167,55.2,NUR
340,Jiazi,CN,81.99,clear sky,22.8779,116.067,Hotel Jin Hao
341,Impfondo,CG,76.62,scattered clouds,1.6381,18.0667,Auberge La Place de Jules
342,Phonhong,LA,73.74,overcast clouds,18.5007,102.4166,Manyvong Guest House
345,Businga,CD,72.82,overcast clouds,3.3333,20.8833,
346,Owase,JP,74.71,scattered clouds,34.0667,136.2,Business Hotel Phoenix
347,Lasa,IT,73.31,scattered clouds,46.6166,10.7002,Pension Feldgärtenhof
348,Tripoli,LY,81.75,clear sky,32.8752,13.1875,Hotel Al-Safwa
349,Darnah,LY,78.55,clear sky,32.767,22.6367,فندق الفردوس
350,Semporna,MY,73.6,overcast clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
353,Akhmim,EG,86.2,clear sky,26.5622,31.745,برج الماسة السكني
354,Sompeta,IN,82.76,overcast clouds,18.9333,84.6,Netaji's Home
355,Guerrero Negro,MX,78.67,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
356,Ingham,US,84.83,clear sky,42.6,-84.3833,Sunset Place
357,San Jeronimo,PE,63.91,few clouds,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
358,Dawlatabad,AF,87.57,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
359,Mao,ES,82.96,clear sky,39.8885,4.2658,ARTIEM Capri
360,Samarai,PG,78.91,overcast clouds,-10.6167,150.6667,Nuli Sapi
361,Yichun,CN,67.03,moderate rain,47.7,128.9,锦江酒店
362,Ikon-Khalk,RU,65.07,broken clouds,44.3051,41.9142,
363,Urla,TR,81.0,clear sky,38.3229,26.764,ulice Restaurant & Cafe & Butik Otel
364,Victoria,HK,82.38,light rain,22.2855,114.1577,Mini Hotel Central
368,Biak,ID,73.72,overcast clouds,-0.9131,122.8766,Penginapan Kim
369,Banjar,ID,76.86,clear sky,-8.19,114.9675,The Hamsa Resort
370,Mizdah,LY,82.17,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
371,Lulea,SE,64.47,clear sky,65.5842,22.1547,Comfort Hotel Arctic
372,Tautira,PF,80.62,clear sky,-17.7333,-149.15,Pension Oaoa
375,Manta,EC,76.78,overcast clouds,-0.95,-80.7333,Balandra Hotel
376,Sola,VU,79.99,scattered clouds,-13.8833,167.55,Leumerus Bungalows
377,Aonla,IN,84.7,few clouds,28.2833,79.15,MK Lawn
378,Baruun-Urt,MN,60.22,clear sky,46.6806,113.2792,Ахмадын амралт сувилал
382,Aitape,PG,75.24,overcast clouds,-3.1374,142.3475,
384,Pontianak,ID,78.78,few clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
385,Belmonte,BR,78.8,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
390,Beohari,IN,76.95,broken clouds,24.05,81.3833,Hotel Madhav Madhuvan
395,Aklavik,CA,67.03,shower rain,68.2191,-135.0107,Aklavik Inn
396,Vao,NC,71.46,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
398,Lazaro Cardenas,MX,85.41,broken clouds,17.9583,-102.2,quinta antigua
399,Linhares,BR,71.8,clear sky,-19.3911,-40.0722,Hotel Conceição
400,Sao Gabriel Da Cachoeira,BR,85.8,scattered clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
401,Ugoofaaru,MV,82.29,broken clouds,5.6667,73.0,Ungoofaaru Inn
402,Goderich,CA,77.92,overcast clouds,43.7501,-81.7165,Harmony Inn
405,Kutum,SD,78.67,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
406,Caravelas,BR,72.81,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
407,Boa Vista,BR,89.58,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
408,Puerto Baquerizo Moreno,EC,79.79,few clouds,-0.9,-89.6,Hotel los Algarrobos
410,San Vicente,AR,76.62,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
411,Banska Stiavnica,SK,67.8,clear sky,48.4486,18.91,Hotel Kerling
412,Santa Isabel Do Rio Negro,BR,83.93,scattered clouds,-0.4139,-65.0192,Hotel GSA
413,Trat,TH,80.78,light rain,12.5,102.5,สวนหนิง-อัศ
