,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
199,Zanjan,IR,36.6736,48.4787,66.72,78,15,8.79,few clouds
200,Nueva Guinea,NI,11.6876,-84.4562,79.45,86,100,10.63,light rain
201,Youkounkoun,GN,12.5333,-13.1333,76.03,91,100,7.72,light rain
202,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,79.93,37,100,11.36,overcast clouds
203,Sao Filipe,CV,14.8961,-24.4956,74.73,74,76,8.9,broken clouds
204,Port Lincoln,AU,-34.7333,135.8667,53.56,69,100,17.6,overcast clouds
205,Sinaloa,MX,25.0,-107.5,95.11,46,9,1.01,clear sky
206,Orcopampa,PE,-15.2661,-72.3417,54.1,30,100,8.14,overcast clouds
207,Lorengau,PG,-2.0226,147.2712,80.6,76,67,6.67,broken clouds
208,Port Hedland,AU,-20.3167,118.5667,59.05,72,10,3.44,clear sky
209,Port Hardy,CA,50.6996,-127.4199,62.78,88,90,4.61,fog
210,Beringovskiy,RU,63.05,179.3167,52.34,88,100,8.57,overcast clouds
211,Tecoanapa,MX,16.5167,-98.75,87.4,63,13,10.78,few clouds
212,Huadian,CN,42.9633,126.7478,68.25,83,91,1.36,overcast clouds
213,Daru,PG,-9.0763,143.2092,77.18,89,100,12.77,overcast clouds
214,Ladario,BR,-19.0047,-57.6017,95.29,28,0,11.5,clear sky
215,Kashi,CN,39.4547,75.9797,84.22,36,75,8.95,broken clouds
216,Mtambile,TZ,-5.3833,39.7,75.97,73,31,19.89,light rain
217,Vostok,RU,46.4856,135.8833,69.53,84,69,4.0,broken clouds
218,Severo-Kurilsk,RU,50.6789,156.125,55.36,96,48,1.43,scattered clouds
219,Hervey Bay,AU,-25.2986,152.8535,59.04,55,1,10.2,clear sky
220,Benghazi,LY,32.1167,20.0667,79.66,73,0,14.58,clear sky
221,Taseyevo,RU,57.2169,94.8978,61.29,71,1,5.21,clear sky
222,Geraldton,AU,-28.7667,114.6,55.81,88,90,10.36,overcast clouds
223,Kupang,ID,-10.1667,123.5833,70.47,74,8,4.16,clear sky
224,Luderitz,NA,-26.6481,15.1594,64.58,30,15,6.49,few clouds
225,Sabha,LY,27.0377,14.4283,84.87,19,0,9.04,clear sky
226,Lapithos,CY,35.3375,33.1792,82.69,80,0,15.97,clear sky
227,Mar Del Plata,AR,-38.0023,-57.5575,52.0,56,0,11.99,clear sky
228,Muros,ES,42.7762,-9.0603,68.5,92,49,1.86,scattered clouds
229,Aksu,CN,41.1231,80.2644,82.99,37,0,3.29,clear sky
230,Vulcan,RO,45.3833,23.2667,60.31,74,43,2.59,scattered clouds
231,Provideniya,RU,64.3833,-173.3,47.01,98,100,12.17,light rain
232,Constantine,DZ,36.365,6.6147,96.21,15,40,12.66,scattered clouds
233,Saint-Georges,GD,12.0564,-61.7485,83.88,84,75,19.57,broken clouds
234,Hamilton,US,39.1834,-84.5333,90.21,58,40,3.0,scattered clouds
235,Grand Gaube,MU,-20.0064,57.6608,70.2,76,6,3.0,clear sky
236,Pisco,PE,-13.7,-76.2167,66.25,68,0,10.36,clear sky
237,Devanhalli,IN,13.2325,77.6992,71.83,88,75,11.5,broken clouds
238,Keuruu,FI,62.2667,24.7,62.74,72,21,3.27,few clouds
239,Mezen,RU,65.8522,44.24,46.89,92,100,8.28,overcast clouds
240,Ostrovnoy,RU,68.0531,39.5131,48.45,91,97,16.73,overcast clouds
241,Kaeo,NZ,-35.1,173.7833,56.32,86,99,11.39,overcast clouds
242,Mahibadhoo,MV,3.7833,72.9667,81.93,78,97,5.32,light rain
243,Tura,IN,25.5198,90.2201,74.93,96,93,3.98,overcast clouds
244,Port Moresby,PG,-9.4431,147.1797,76.42,94,75,3.44,broken clouds
245,Shiyan,CN,32.6475,110.7781,74.41,95,3,2.1,clear sky
246,Palmer,US,42.1584,-72.3287,85.32,38,40,1.01,scattered clouds
247,Plouzane,FR,48.3833,-4.6167,62.69,94,40,5.75,scattered clouds
248,Naze,JP,28.3667,129.4833,77.32,92,100,22.24,overcast clouds
